"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
119, 398.017460141407, 109.59322892311, 9679.32328976936, 10388.1158628637, 25.3979360767657, 3.29698675574814, 174.042121059852
120, 3080.005495176, 1051.43588165913, 9679.32328976936, 10388.1158628637, 40.867294208574, 68.289141496187, 174.042121059852
121, 2182.91523342643, 726.831239784003, 9679.32328976936, 10388.1158628637, 32.6270339530461, 33.7835341086685, 174.042121059852
122, 1409.38390008737, 461.32560238831, 9679.32328976936, 10388.1158628637, 29.0194139362038, 18.8469476430943, 174.042121059852
123, 1777.35437988242, 584.604737608836, 9679.32328976936, 10388.1158628637, 30.5895997476758, 25.1201671597045, 174.042121059852
124, 2072.14185404903, 693.896404179581, 9679.32328976936, 10388.1158628637, 32.8380880797859, 35.2007575412781, 174.042121059852
125, 1634.40668439292, 533.596474618883, 9679.32328976936, 10388.1158628637, 29.5733470729907, 21.9131598395506, 174.042121059852
126, 2295.74600009817, 771.698548427963, 9679.32328976936, 10388.1158628637, 34.0755185486954, 39.7323886058373, 174.042121059852
127, 6773.43743489472, 2477.82671775967, 9679.32328976936, 10388.1158628637, 95.1392054524761, 287.492273535434, 174.042121059852
128, 7436.58841916059, 2756.36302546872, 9679.32328976936, 10388.1158628637, 110.315241066276, 348.22525953841, 174.042121059852
129, 8678.46301309287, 3299.83626007678, 9679.32328976936, 10388.1158628637, 142.94214230784, 477.120384782378, 174.042121059852
130, 8661.26597512102, 3357.53889328332, 9679.32328976936, 10388.1158628637, 144.002500837937, 483.311402477982, 174.042121059852
131, 8763.06034879512, 3456.5835405491, 9679.32328976936, 10388.1158628637, 148.605833095818, 503.46195926602, 174.042121059852
132, 8992.88524360586, 3628.83252596099, 9679.32328976936, 10388.1158628637, 157.645944474313, 542.328399049079, 174.042121059852
133, 8516.84983292218, 3422.20345734262, 9679.32328976936, 10388.1158628637, 143.910005597151, 486.989550344007, 174.042121059852
134, 9293.33112272692, 3756.05409945341, 9679.32328976936, 10388.1158628637, 166.381856360538, 577.180641108568, 174.042121059852
135, 9479.09404384363, 3810.42856053952, 9679.32328976936, 10388.1158628637, 171.081207344824, 595.019530189525, 174.042121059852
136, 9548.61830365979, 3785.39224220694, 9679.32328976936, 10388.1158628637, 171.480179759975, 594.745568904385, 174.042121059852
137, 9630.46794729725, 3756.08835010148, 9679.32328976936, 10388.1158628637, 172.285753254925, 596.012073729221, 174.042121059852
138, 9061.01483549319, 3447.46208712792, 9679.32328976936, 10388.1158628637, 153.639214821894, 519.66884304831, 174.042121059852
139, 8277.21649007075, 3109.24740521437, 9679.32328976936, 10388.1158628637, 131.679149909064, 432.066641428997, 174.042121059852
140, 8208.67901191005, 3080.32251022905, 9679.32328976936, 10388.1158628637, 129.897342895569, 425.08351133592, 174.042121059852
141, 7471.2691854197, 2766.05219214553, 9679.32328976936, 10388.1158628637, 111.383650075331, 352.025243193995, 174.042121059852
142, 6813.93928599067, 2501.67862325888, 9679.32328976936, 10388.1158628637, 98.7790243220404, 298.453758321276, 174.042121059852
143, 393.6104540065, 108.13414834336, 9679.32328976936, 10388.1158628637, 25.3936685468576, 3.27917312756791, 174.042121059852
144, 3093.07330209677, 1057.07885035237, 9679.32328976936, 10388.1158628637, 41.1661471909773, 69.7303115096435, 174.042121059852
145, 1635.72576780629, 539.505760661635, 9679.32328976936, 10388.1158628637, 29.7928298615206, 22.6403084543412, 174.042121059852
146, 1764.94407293088, 580.008649736834, 9679.32328976936, 10388.1158628637, 30.1762175463698, 23.5392819791504, 174.042121059852
147, 1003.64523938712, 316.912165284993, 9679.32328976936, 10388.1158628637, 26.8474950885245, 9.44667203015822, 174.042121059852
148, 689.685930811309, 210.063946583682, 9679.32328976936, 10388.1158628637, 25.9090606717299, 5.14907759450576, 174.042121059852
149, 2209.82237631064, 739.720054887725, 9679.32328976936, 10388.1158628637, 33.5851178491336, 39.0543898249314, 174.042121059852
150, 849.854717772246, 267.224594385731, 9679.32328976936, 10388.1158628637, 26.8721474710824, 9.49512011899844, 174.042121059852
151, 7559.38107117651, 2802.56645614497, 9679.32328976936, 10388.1158628637, 112.734356888511, 358.403996116632, 174.042121059852
152, 6408.36678410183, 2328.38838379374, 9679.32328976936, 10388.1158628637, 88.7829537227318, 257.953441700342, 174.042121059852
153, 7475.88069049586, 2794.71128931696, 9679.32328976936, 10388.1158628637, 111.607137721408, 353.022818707735, 174.042121059852
154, 7247.90394571984, 2787.35551730576, 9679.32328976936, 10388.1158628637, 108.022811115968, 341.030125890111, 174.042121059852
155, 7092.65257395794, 2789.70836481837, 9679.32328976936, 10388.1158628637, 106.426711969128, 336.570525543926, 174.042121059852
156, 6975.21879682369, 2795.6490724619, 9679.32328976936, 10388.1158628637, 105.717350187578, 335.392543923291, 174.042121059852
157, 6954.00170086747, 2802.30248696794, 9679.32328976936, 10388.1158628637, 105.828746156186, 336.2737430983, 174.042121059852
158, 6965.51891351691, 2810.35690146708, 9679.32328976936, 10388.1158628637, 106.228995940308, 337.89090136735, 174.042121059852
159, 6847.03844763288, 2729.75540169364, 9679.32328976936, 10388.1158628637, 102.148970953657, 321.484364187095, 174.042121059852
160, 7024.69082212836, 2727.59566556374, 9679.32328976936, 10388.1158628637, 103.506181151016, 324.981230481317, 174.042121059852
161, 7160.77387192293, 2708.73365446521, 9679.32328976936, 10388.1158628637, 104.623019495969, 328.400958152241, 174.042121059852
162, 6020.31943014108, 2181.35909317201, 9679.32328976936, 10388.1158628637, 85.0635870040831, 242.365333514393, 174.042121059852
163, 168.708787697018, 32.9349785118021, 9679.32328976936, 10388.1158628637, 25.1164437225735, 1.91683252253457, 174.042121059852
164, 193.03778284108, 41.0013670713419, 9679.32328976936, 10388.1158628637, 25.1253898302557, 1.96938428028176, 174.042121059852
165, 192.009260918513, 40.5197968756159, 9679.32328976936, 10388.1158628637, 25.1246685418207, 1.96555432133247, 174.042121059852
166, 752.930443230408, 230.436679025252, 9679.32328976936, 10388.1158628637, 26.3958721229641, 7.70085376698161, 174.042121059852
167, 369.058439705752, 100.710647899208, 9679.32328976936, 10388.1158628637, 25.2635293285404, 2.62952106857543, 174.042121059852
168, 365.536518038022, 100.733285381953, 9679.32328976936, 10388.1158628637, 25.2605794266104, 2.4980142961114, 174.042121059852
169, 591.736048344899, 179.548243600247, 9679.32328976936, 10388.1158628637, 26.5102148545478, 8.57983464623345, 174.042121059852
170, 507.239835295597, 147.591444209122, 9679.32328976936, 10388.1158628637, 25.6595769056726, 4.29985950829898, 174.042121059852
171, 386.950501835202, 108.49271822546, 9679.32328976936, 10388.1158628637, 25.3824505680471, 3.11336012566491, 174.042121059852
172, 394.76525626723, 109.570285948371, 9679.32328976936, 10388.1158628637, 25.2897569124525, 2.7483195741803, 174.042121059852
