"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
4139, "Line.L9", 310, 600, 117.628588737348, 60.7747708476298, 7.19955785679463, 364.648625084628, 364.648625085779, 364.648625084012 
4139, "Transformer.TR45", 20.371621366755, 27.7794836819387, 180.614595262671, 132.450703192625, 7.19955785679463, 36.7941214800084, 36.7941214798569, 36.7941214796374 
4140, "Line.L9", 310, 600, 108.769410568583, 56.1975287937678, 7.19955785679463, 337.185172761559, 337.185172762607, 337.185172760979 
4140, "Transformer.TR45", 20.371621366755, 27.7794836819387, 213.223461805538, 156.363871990728, 7.19955785679463, 43.4370763041117, 43.4370763038972, 43.4370763035965 
4141, "Line.L9", 310, 600, 121.757896354523, 62.9082464498367, 7.19955785679463, 377.449478697784, 377.44947869902, 377.44947869733 
4141, "Transformer.TR45", 20.371621366755, 27.7794836819387, 195.181041818695, 143.132764000376, 7.19955785679463, 39.7615428189924, 39.7615428188154, 39.76154281856 
4142, "Line.L9", 310, 600, 126.283784212887, 65.2466218433247, 7.19955785679463, 391.479731058598, 391.479731059948, 391.479731058163 
4142, "Transformer.TR45", 20.371621366755, 27.7794836819387, 176.582630892714, 129.493929321323, 7.19955785679463, 35.9727449649182, 35.9727449647743, 35.9727449645639 
4143, "Line.L9", 310, 600, 127.75725658291, 66.0079159011704, 7.19955785679463, 396.047495405705, 396.047495407022, 396.047495405333 
4143, "Transformer.TR45", 20.371621366755, 27.7794836819387, 177.223340306656, 129.963782891548, 7.19955785679463, 36.1032678607878, 36.1032678606423, 36.1032678604303 
4144, "Line.L9", 310, 600, 130.156555428613, 67.2475536381166, 7.19955785679463, 403.48532182735, 403.4853218287, 403.485321826849 
4144, "Transformer.TR45", 20.371621366755, 27.7794836819387, 156.265442400578, 114.594657760424, 7.19955785679463, 31.8338042529305, 31.8338042528185, 31.8338042526527 
4145, "Line.L9", 310, 600, 121.205616959057, 62.6229020955125, 7.19955785679463, 375.737412571909, 375.737412573075, 375.737412571006 
4145, "Transformer.TR45", 20.371621366755, 27.7794836819387, 106.235109803828, 77.9057471894741, 7.19955785679463, 21.6418143277924, 21.6418143277408, 21.641814327665 
4146, "Line.L9", 310, 600, 107.289219437112, 55.4327633758413, 7.19955785679463, 332.596580254146, 332.596580255048, 332.596580252963 
4147, "Line.L9", 310, 600, 110.05690229293, 56.8627328513472, 7.19955785679463, 341.17639710703, 341.176397108083, 341.176397105847 
4148, "Line.L9", 310, 600, 105.493121951649, 54.5047796750187, 7.19955785679463, 327.028678049312, 327.028678050112, 327.028678047876 
4160, "Line.L9", 310, 600, 118.441680790171, 61.1948684082552, 7.19955785679463, 367.169210448385, 367.169210449531, 367.169210447362 
4161, "Line.L9", 310, 600, 124.283721994995, 64.2132563640809, 7.19955785679463, 385.279538183198, 385.279538184485, 385.279538182391 
4162, "Line.L9", 310, 600, 125.113652200615, 64.6420536369844, 7.19955785679463, 387.852321820665, 387.852321821907, 387.852321819917 
4162, "Transformer.TR45", 20.371621366755, 27.7794836819387, 123.960268007195, 90.9041965386095, 7.19955785679463, 25.2527164436405, 25.2527164435695, 25.2527164434648 
4163, "Line.L9", 310, 600, 120.196159840685, 62.1013492510204, 7.19955785679463, 372.608095504909, 372.608095506122, 372.608095504223 
4163, "Transformer.TR45", 20.371621366755, 27.7794836819387, 163.216077374368, 119.691790074537, 7.19955785679463, 33.2497612923762, 33.2497612922529, 33.2497612920727 
4164, "Line.L9", 310, 600, 107.948376577951, 55.7733278986083, 7.19955785679463, 334.639967390563, 334.63996739165, 334.639967389888 
4164, "Transformer.TR45", 20.371621366755, 27.7794836819387, 193.114531531636, 141.6173231232, 7.19955785679463, 39.3405611678077, 39.3405611676339, 39.3405611673852 
