hour, t(sec), P1 (kW), Q1 (kvar)
169, 1800.00000, 607.388, 181.21
169, 2700.00000, 653.698, 196.815
170, 0.00000, 507.309, 147.629
170, 900.00000, 601.328, 179.604
170, 1800.00000, 531.869, 156.718
170, 2700.00000, 453.447, 130.617
171, 0.00000, 387.016, 108.512
171, 900.00000, 353.977, 96.5071
171, 1800.00000, 296.864, 77.1341
171, 2700.00000, 405.453, 112.697
172, 0.00000, 394.742, 109.594
172, 900.00000, 364.506, 99.3608
172, 1800.00000, 454.585, 129.635
172, 2700.00000, 423.906, 119.568
173, 0.00000, 528.801, 154.513
173, 900.00000, 528.361, 154.326
173, 1800.00000, 546.864, 161.158
173, 2700.00000, 607.415, 182.513
